Name,Points,Type,Speed,Shoot,Fight,Survive,Size,Armour,VPs,Weapons,Equipment,Abilities,Weapon Upgrades,Skill Tables,Hardpoints,Recon,Army Special
Overseer,30,L,1-2,5,5,5,1,1,3,"Energy Pulse, Charge Glove, Staff of Command",,Tactician(2),"Leader, Small Arms, Light Melee, Overseer","Ranged, Melee, Command",,4,Wheels Within Wheels
Cypher Prime,24,L,1-2,0,4,5,1,1,2,Lightblade,,"Tactician(1),Construct,Vulnerable, Toxic Smokescreen","Leader, Small Arms, Light Melee","Melee, Command, Specialist",,5,Overcharge
Cypher,15,T,1-2,3,5,5,1,1,2,Noh Rifle,,"Construct, Vulnerable, Toxic Smokescreen","Small Arms, Light Automatic, Light Assault, Light Melee",Ranged,,,
Marionettes,10,T,1-2,5,6,5,1,0,1,Noh Rifle,,Construct,"Small Arms, Light Automatic, Light Assault, Light Melee",Ranged,,,
Kalyshi,15,T,2-3,5,3,5,1,0,2,"Energy Bow, Glaive",,,Kalyshi,Melee,,,
Cypher Specialist,15,S,1-2,3,5,5,1,1,2,Noh Rifle,,"Construct, Vulnerable, Toxic Smokescreen","Light Automatic, Light Explosive, Heavy Lance","Ranged, Specialist",,,
Drone,12,S,1-2,6,0,6,2,0,2,,,"Construct, Beast","Platform Lance, Platform Explosive, Platform Artillery, Platform Shield",Specialist,,,
Black Talon,20,S,1-2,3,5,5,1,1,2,Noh Rifle,"Energy Shield(2), Jump Pack","Construct, Vulnerable, Glide","Small Arms, Light Melee","Ranged, Specialist",,,
Marionette Specialist,10,S,1-2,5,6,5,1,0,1,Noh Rifle,,Construct,"Small Arms, Light Sniper, Light Assault, Light Explosive",Ranged,,,
Sky Razor,20,V,2-4,4,0,5,2,0,2,Twin Noh Rifles,,Vehicle,Bike Automatic,Ranged,,,
