Name,Points,Type,Speed,Shoot,Fight,Survive,Size,Armour,VPs,Weapons,Equipment,Abilities,Weapon Upgrades,Skill Tables,Hardpoints,Recon,Army Special
Peacekeeper Captain,48,L,1-2,4+,5+,3+,2,2,5,"DB Laser Rifle,Wristblade",Jump Pack,Tactician(2),"Leader, Light Melee, Heavy Melee","Ranged, Melee, Command",,4,Bastion
Enforcer Sergeant,28,L,1-2,4+,5+,4+,1,1,3,"Pistol, Energy Gauntlet",Jump Pack,Tactician(1),"Leader, Small Arms, Light Melee","Ranged, Melee, Command",,4,Mobile Infantry
Pathfinder Sergeant,22,L,1-2,4+,5+,4+,1,0,3,Pistol,,Tactician(1),"Leader, Light Melee, Heavy Melee","Ranged, Melee, Command",,3,Target Acquisition
Enforcer Captain,34,L,1-2,4+,5+,4+,1,1,4,"Pistol, Energy Gauntlet",Jump Pack,Tactician(2),"Leader, Small Arms, Light Melee","Ranged, Melee, Command",,4,Stalwart
Assault Enforcer,14,T,1-2,5+,5+,4+,1,1,1,"Pistol,Wristblade",Jump Pack,,"Small Arms, Light Melee",Melee,,,
Pathfinder,15,T,1-2,4+,6+,4+,1,0,2,Tag Rifle,,Scout,"Small Arms, Recon",Ranged,,,
Enforcer,16,T,1-2,4+,6+,4+,1,1,2,Laser Rifle,Jump Pack,,Small Arms,Ranged,,,
Enforcer Specialist,16,S,1-2,4+,6+,4+,1,1,2,Laser Rifle,Jump Pack,,"Small Arms, Light Automatic, Light Explosive, Light Sniper, Light Assault",Ranged,,,
Pathfinder Specialist,15,S,1-2,4+,6+,4+,1,0,2,Tag Rifle,,Scout,"Small Arms, Recon, Light Sniper","Ranged,Specialist",,,
Peacekeeper,30,S,1-2,4+,5+,4+,2,2,3,"DB Laser Rifle,Energy Gauntlet",Jump Pack,,"Light Melee, Heavy Assault,  Heavy Automatic","Ranged, Melee",,,
Enforcer Medic,20,S,1-2,5+,6+,4+,1,1,2,Pistol,Jump Pack,Medic,Small Arms,"Ranged,Specialist",,,
Enforcer Engineer,14,S,1-2,5+,6+,4+,1,1,2,Laser Rifle,Jump Pack,Engineer,Small Arms,"Ranged,Specialist",,,
D.O.G Drone,12,S,2-4,6+,-,6+,1,0,1,Burst Laser,,"Construct, Beast",,,,,
Enforcer Jet Bike,24,V,1-5,4+,6+,4+,2,1,2,DB Laser Rifle,,Vehicle,"Heavy Automatic, Light Explosive",Ranged,,,
Enforcer Strider,30,V,1-2,4+,5+,4+,4,3,3,,,Vehicle,"Walker Lance,Walker Assault,Walker Melee, Walker Shield","Ranged, Melee",2,,
